"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Montero, Rafael",606160,"ATL","FS","Split-Finger",0.8,2,"256",44.7,"69","0.169","0.271","0.263",36.9,29,19.8,"0.169","0.24","0.252",28.2
"Rodríguez, Yariel",684320,"TOR","SL","Slider",2,5,"248",37.1,"69","0.141","0.344","0.227",39.8,37.7,27.7,"0.163","0.36","0.253",30.8
"Kochanowicz, Jack",686799,"LAA","FF","4-Seam Fastball",-0.1,0,"265",18,"69","0.207","0.345","0.31",23.2,26.1,17.6,"0.244","0.462","0.362",52.5
"Varland, Louis",686973,"MIN","FF","4-Seam Fastball",2.2,6,"272",45.8,"69","0.237","0.305","0.282",17.9,20.3,23.3,"0.273","0.422","0.335",50
"De Los Santos, Enyel",660853,"ATL","FF","4-Seam Fastball",0.1,0,"278",45.9,"69","0.267","0.433","0.365",19.9,21.7,18.3,"0.278","0.49","0.373",48.9
"Freeland, Kyle",607536,"COL","CU","Curveball",0.6,2,"294",22.4,"69","0.219","0.25","0.233",37.1,29,16.5,"0.171","0.235","0.203",35.6
"Beeks, Jalen",656222,"AZ","CH","Changeup",3.5,9,"270",40.8,"68","0.063","0.079","0.11",37,29.4,20.6,"0.156","0.213","0.199",18.6
"Díaz, Edwin",621242,"NYM","FF","4-Seam Fastball",1.9,6,"304",53,"68","0.143","0.196","0.225",35.3,36.8,29.1,"0.165","0.266","0.272",42.4
"Kolek, Stephen",663568,"SD","FF","4-Seam Fastball",-1.2,-3,"277",26.3,"68","0.273","0.545","0.392",18.9,20.6,16.5,"0.27","0.501","0.389",46.5
"Williams, Gavin",668909,"CLE","FC","Cutter",1.4,4,"257",15.3,"68","0.167","0.315","0.332",20.9,7.4,11.1,"0.227","0.342","0.339",46.9
"Martinez, Nick",607259,"CIN","SI","Sinker",-1.2,-3,"235",15.6,"68","0.305","0.475","0.398",10.4,13.2,18.8,"0.276","0.382","0.332",31.4
"Littell, Zack",641793,"TB","SI","Sinker",0.2,0,"239",15.3,"68","0.266","0.578","0.378",11.4,5.9,9.8,"0.286","0.532","0.367",41.7
"Smith, Shane",681343,"CWS","SL","Slider",-1.9,-4,"228",16.3,"67","0.262","0.459","0.369",20.9,19.4,16.5,"0.243","0.43","0.323",43.8
"Anderson, Grant",681982,"MIL","ST","Sweeper",1.4,4,"286",38.8,"67","0.143","0.286","0.228",34,20.9,17.3,"0.207","0.345","0.253",30
"Díaz, Edwin",621242,"NYM","SL","Slider",1.4,4,"269",46.9,"67","0.177","0.258","0.24",44.4,41.8,32.6,"0.147","0.188","0.187",29.4
"Bivens, Spencer",702352,"SF","SI","Sinker",0.6,2,"238",35.6,"67","0.233","0.383","0.314",6.1,22.4,29.4,"0.221","0.374","0.3",35.6
"Hancock, Emerson",676106,"SEA","CH","Changeup",-2.5,-6,"261",20.9,"67","0.267","0.55","0.37",25.8,16.4,12,"0.291","0.571","0.39",34
"Lorenzen, Michael",547179,"KC","SI","Sinker",-1.1,-3,"250",15.5,"67","0.262","0.541","0.362",9.8,19.4,21,"0.271","0.496","0.358",41.7
"Uceta, Edwin",670955,"TB","CH","Changeup",1,2,"244",38.2,"67","0.213","0.295","0.254",33.6,31.3,21.9,"0.278","0.481","0.368",41.5
"Green, Chad",643338,"TOR","SL","Slider",-0.7,-2,"277",46.6,"67","0.197","0.443","0.306",24.4,17.9,13.5,"0.262","0.533","0.367",38.8
"Pepiot, Ryan",686752,"TB","SL","Slider",-1,-3,"319",19.6,"67","0.288","0.515","0.36",22.3,7.5,6.8,"0.311","0.529","0.362",29.5
"Bender, Anthony",669622,"MIA","ST","Sweeper",3.3,8,"259",45.5,"67","0.079","0.127","0.139",24.5,25.4,21.3,"0.144","0.225","0.189",32.6
"Helsley, Ryan",664854,"STL","FF","4-Seam Fastball",-2.3,-5,"230",45.9,"67","0.421","0.561","0.46",15.2,11.9,14,"0.352","0.533","0.422",56
"Gonsolin, Tony",664062,"LAD","FF","4-Seam Fastball",-0.9,-2,"245",40.2,"66","0.291","0.527","0.407",23.5,12.1,12.9,"0.288","0.542","0.409",48.9
"Kelly, Merrill",518876,"AZ","FC","Cutter",1.5,5,"324",19.8,"66","0.145","0.323","0.239",21.4,24.2,25,"0.242","0.478","0.326",43.5
"Duran, Jhoan",661395,"MIN","FS","Split-Finger",3.5,8,"235",37.1,"66","0.217","0.25","0.241",28.4,15.2,20.4,"0.233","0.317","0.27",41.2
"Jobe, Jackson",695549,"DET","FF","4-Seam Fastball",-0.7,-2,"273",31.1,"66","0.296","0.519","0.395",14.2,9.1,7.7,"0.295","0.503","0.389",46
"Kirby, George",669923,"SEA","FF","4-Seam Fastball",2.3,6,"252",31.7,"66","0.164","0.23","0.211",31.1,30.3,23.5,"0.194","0.281","0.242",36.6
"Sánchez, Cristopher",650911,"PHI","SL","Slider",0,0,"252",16.5,"66","0.21","0.452","0.302",33.9,25.8,21.8,"0.238","0.488","0.329",37.8
"Bellozo, Valente",678368,"MIA","FC","Cutter",-1.3,-3,"269",34.8,"66","0.379","0.586","0.439",18.7,15.2,18.2,"0.289","0.49","0.365",42.9
"Rogers, Taylor",573124,"CIN","SI","Sinker",-2.1,-6,"269",51,"66","0.321","0.472","0.407",12.8,13.6,10.8,"0.319","0.577","0.423",48.9
"Hernández, Daysbel",678226,"ATL","SL","Slider",0,0,"284",56.9,"66","0.222","0.278","0.307",34.7,16.7,11.6,"0.222","0.315","0.317",30.2
"Soto, Gregory",642397,"BAL","SI","Sinker",1.3,4,"278",52.7,"66","0.189","0.245","0.298",19.3,18.2,22.2,"0.211","0.29","0.305",45.2
"Sugano, Tomoyuki",608372,"BAL","FF","4-Seam Fastball",-0.5,-1,"275",18.6,"66","0.281","0.509","0.386",16.4,19.7,15.9,"0.28","0.546","0.396",45.5
"Alcala, Jorge",660896,"BOS","FF","4-Seam Fastball",1,3,"270",45.7,"66","0.164","0.382","0.295",26.4,25.8,18.5,"0.177","0.352","0.292",33.3
"Uceta, Edwin",670955,"TB","FF","4-Seam Fastball",-0.8,-2,"235",36.8,"66","0.193","0.491","0.339",35.9,39.4,28,"0.216","0.513","0.358",54.8
"Cabrera, Edward",665795,"MIA","CU","Curveball",1.4,4,"283",22.3,"65","0.121","0.276","0.212",38.4,46.2,28,"0.13","0.215","0.196",43.3
"Alexander, Tyler",641302,"CWS","FF","4-Seam Fastball",1,2,"231",26,"65","0.217","0.317","0.267",18.8,16.9,13.3,"0.244","0.47","0.332",46.9
"Cameron, Noah",702070,"KC","FF","4-Seam Fastball",-1.9,-5,"238",27.9,"65","0.263","0.579","0.408",12.6,9.2,13.3,"0.314","0.616","0.429",45.1
"Yamamoto, Yoshinobu",808967,"LAD","CU","Curveball",-0.3,-1,"278",17.7,"65","0.246","0.333","0.322",35.1,29.2,26.4,"0.229","0.348","0.303",36.8
"Civale, Aaron",650644,"CWS","FC","Cutter",-0.5,-1,"271",35.7,"65","0.259","0.463","0.377",27.8,18.5,19,"0.24","0.454","0.353",39.5
"Bednar, David",670280,"PIT","FF","4-Seam Fastball",0.6,1,"234",48.1,"65","0.232","0.429","0.327",23.2,26.2,22.4,"0.265","0.553","0.383",47.5
"Bernardino, Brennan",657514,"BOS","SI","Sinker",1.1,3,"245",41.9,"65","0.275","0.314","0.339",10.9,13.8,17.3,"0.266","0.358","0.349",38.6
"Wacha, Michael",608379,"KC","FC","Cutter",-0.9,-2,"229",14.3,"65","0.333","0.579","0.412",19.5,4.6,13,"0.309","0.59","0.404",39.3
"Junis, Jakob",596001,"CLE","SL","Slider",0.8,2,"283",46.9,"65","0.238","0.317","0.246",29.8,26.2,20,"0.252","0.379","0.274",34
"Kremer, Dean",665152,"BAL","CU","Curveball",-0.6,-1,"238",14.5,"64","0.3","0.517","0.348",19.3,7.8,9.4,"0.31","0.51","0.359",29.8
"Quantrill, Cal",615698,"MIA","FF","4-Seam Fastball",-1.7,-5,"304",22.4,"64","0.339","0.589","0.422",19.4,17.2,10,"0.255","0.487","0.356",34.8
"Giolito, Lucas",608337,"BOS","SL","Slider",-0.3,-1,"249",23.7,"64","0.267","0.367","0.292",26.2,23.4,18.3,"0.335","0.512","0.377",41.3
"Nola, Aaron",605400,"PHI","CU","Curveball",-0.9,-2,"247",28.6,"64","0.31","0.466","0.37",33.3,29.7,20,"0.282","0.412","0.335",41
"Povich, Cade",700249,"BAL","CU","Curveball",-2.5,-6,"250",21.7,"64","0.322","0.508","0.418",25,21.9,16.1,"0.275","0.5","0.357",44.4
"Festa, David",701581,"MIN","FF","4-Seam Fastball",-1.6,-4,"240",32.9,"64","0.364","0.6","0.453",13.1,10.9,13.7,"0.332","0.595","0.436",45.8
"Rodríguez, Randy",678495,"SF","FF","4-Seam Fastball",1.8,6,"318",54.2,"64","0.155","0.19","0.21",28.7,39.1,25,"0.199","0.298","0.257",44.1
"Halvorsen, Seth",678020,"COL","FF","4-Seam Fastball",-0.8,-2,"274",50.7,"64","0.327","0.481","0.416",28.6,20.3,23.2,"0.279","0.394","0.363",52.5
"Jax, Griffin",643377,"MIN","ST","Sweeper",1.5,4,"276",44.2,"64","0.222","0.27","0.252",43.4,46.9,30,"0.213","0.293","0.226",42.4
"Fried, Max",608331,"NYY","FF","4-Seam Fastball",2.2,5,"226",12.3,"64","0.148","0.262","0.213",26.6,39.1,19.5,"0.184","0.361","0.252",44.4
"Wheeler, Zack",554430,"PHI","ST","Sweeper",2.2,5,"246",13.6,"64","0.159","0.254","0.185",37.3,37.5,25.3,"0.217","0.357","0.25",33.3
"Dobbins, Hunter",690928,"BOS","SL","Slider",0.1,0,"245",27.1,"64","0.242","0.435","0.301",28.2,15.6,19.6,"0.317","0.575","0.388",53.8
"Skenes, Paul",694973,"PIT","ST","Sweeper",1.7,5,"284",15.6,"63","0.133","0.2","0.185",31.3,28.6,17.8,"0.177","0.242","0.206",19
"Vodnik, Victor",680767,"COL","FF","4-Seam Fastball",0.2,1,"272",56.8,"63","0.208","0.34","0.328",17.9,19,16,"0.264","0.487","0.379",58.5
"Gallen, Zac",668678,"AZ","CH","Changeup",0,0,"234",13.7,"63","0.214","0.321","0.298",30,9.5,9,"0.256","0.458","0.346",42
"Williams, Devin",642207,"NYY","FF","4-Seam Fastball",-0.4,-1,"273",46.8,"63","0.24","0.32","0.338",37.7,33.3,26.9,"0.218","0.33","0.331",41.4
"Quintana, Jose",500779,"MIL","CH","Changeup",-1.1,-3,"243",22.2,"63","0.311","0.393","0.322",19.6,12.7,11.3,"0.284","0.399","0.307",34
"Severino, Luis",622663,"ATH","FC","Cutter",0.6,2,"322",17.4,"63","0.273","0.364","0.335",19,3.2,6.7,"0.326","0.488","0.383",33.3
"Hader, Josh",623352,"HOU","SL","Slider",2.3,6,"247",40,"62","0.167","0.3","0.214",55,51.6,32.3,"0.135","0.194","0.159",25
"Bassitt, Chris",605135,"TOR","CU","Curveball",1.3,4,"283",16.9,"62","0.161","0.304","0.245",33.3,24.2,16.5,"0.175","0.274","0.241",19.5
"Ashcraft, Graham",668933,"CIN","SL","Slider",1.9,5,"250",42,"62","0.153","0.237","0.2",43.5,46.8,27.6,"0.141","0.18","0.157",35.5
"Yates, Kirby",489446,"LAD","FF","4-Seam Fastball",1.3,3,"258",53.9,"61","0.211","0.456","0.307",36.7,36.1,25.3,"0.189","0.401","0.277",40
"Brown, Hunter",686613,"HOU","CU","Curveball",2,6,"281",17.3,"61","0.153","0.169","0.161",38.9,44.3,26.7,"0.165","0.195","0.174",31.3
"Meyer, Max",676974,"MIA","FF","4-Seam Fastball",-2.7,-6,"231",22.2,"61","0.315","0.63","0.433",14,13.1,13.1,"0.347","0.703","0.471",52.2
"Pivetta, Nick",601713,"SD","ST","Sweeper",1.8,5,"282",18.9,"61","0.153","0.254","0.221",36.6,36.1,25.3,"0.155","0.266","0.196",13.5
"Banda, Anthony",607455,"LAD","SL","Slider",1,3,"287",44.7,"61","0.113","0.189","0.208",36.5,29.5,18.4,"0.175","0.351","0.285",28.6
"Buehler, Walker",621111,"BOS","FC","Cutter",-1.5,-4,"240",18.5,"61","0.396","0.679","0.49",19.4,9.8,14,"0.338","0.542","0.418",34
"Burke, Sean",680732,"CWS","CU","Curveball",0.4,1,"307",21.1,"61","0.217","0.4","0.294",27.9,27.9,20.2,"0.282","0.51","0.353",46.5
"Bellozo, Valente",678368,"MIA","FF","4-Seam Fastball",0.5,1,"224",28.9,"60","0.222","0.352","0.281",17.9,18.3,12.6,"0.229","0.432","0.322",41.9
"Leiter, Jack",683004,"TEX","SI","Sinker",2.1,5,"227",17.5,"60","0.255","0.291","0.28",15.5,15,19.1,"0.357","0.574","0.422",56.5
"Hamilton, Ian",641656,"NYY","SI","Sinker",0.4,1,"240",45.7,"60","0.261","0.37","0.374",10.4,8.3,12.2,"0.343","0.493","0.436",35.7
"Strahm, Matt",621381,"PHI","FF","4-Seam Fastball",-1.7,-4,"227",38.5,"60","0.212","0.442","0.308",26.3,38.3,25.3,"0.176","0.399","0.284",51.6
"Kikuchi, Yusei",579328,"LAA","CU","Curveball",2.4,5,"225",13,"60","0.143","0.214","0.206",28.1,20,19,"0.187","0.281","0.233",29.5
"Paddack, Chris",663978,"MIN","SL","Slider",-0.5,-1,"247",15.6,"60","0.246","0.491","0.345",24.8,23.3,16.1,"0.289","0.488","0.349",46.5
"Burke, Brock",656271,"LAA","FF","4-Seam Fastball",1,3,"265",44.5,"60","0.245","0.367","0.314",20.8,25,16.1,"0.261","0.534","0.382",51.4
"Bird, Jake",656234,"COL","SL","Slider",1.3,4,"302",38.6,"59","0.226","0.34","0.306",33.1,33.9,25.6,"0.165","0.234","0.224",27.3
"Brazobán, Huascar",623211,"NYM","SI","Sinker",2,5,"252",34.9,"59","0.196","0.196","0.284",16.1,13.6,25,"0.224","0.274","0.325",38.1
"Buehler, Walker",621111,"BOS","FF","4-Seam Fastball",-3.6,-11,"318",24.6,"59","0.354","0.75","0.496",13.3,15.3,10.7,"0.309","0.654","0.455",55
"Walker, Taijuan",592836,"PHI","FC","Cutter",0.6,2,"275",29.3,"59","0.22","0.48","0.365",20.5,18.6,25.6,"0.189","0.338","0.288",37.5
"Ross, Joe",605452,"PHI","FF","4-Seam Fastball",-0.2,0,"260",37.9,"59","0.306","0.469","0.371",28.3,13.6,13.3,"0.307","0.54","0.398",39.5
"Falter, Bailey",663559,"PIT","SL","Slider",-0.7,-2,"244",17.6,"59","0.214","0.411","0.302",24.6,20.3,18.5,"0.27","0.491","0.34",47.7
"Doval, Camilo",666808,"SF","FC","Cutter",0.7,2,"275",44.8,"59","0.208","0.292","0.289",12.8,11.9,14.6,"0.299","0.49","0.388",44.2
"Faucher, Calvin",676534,"MIA","FC","Cutter",2,5,"231",39.2,"58","0.245","0.321","0.291",18.3,19,18.6,"0.32","0.413","0.346",30.2
"Leiter Jr., Mark",643410,"NYY","SI","Sinker",-0.2,0,"242",38.8,"58","0.358","0.472","0.415",10.8,13.8,24.2,"0.31","0.4","0.343",24.4
"Kershaw, Clayton",477132,"LAD","FF","4-Seam Fastball",-0.6,-1,"250",36.5,"58","0.235","0.431","0.336",3.7,3.4,5.6,"0.284","0.425","0.35",46
"Heaney, Andrew",571760,"PIT","SL","Slider",-1.2,-3,"230",15.6,"58","0.236","0.455","0.3",32.4,29.3,20.7,"0.248","0.379","0.279",38.5
"Blanco, Ronel",669854,"HOU","FF","4-Seam Fastball",-1.7,-5,"283",35.6,"58","0.267","0.6","0.432",16.8,10.3,9.2,"0.24","0.487","0.388",45
"Vásquez, Randy",681190,"SD","FF","4-Seam Fastball",0.1,0,"275",18.8,"57","0.277","0.426","0.372",11.9,10.5,7.8,"0.284","0.528","0.406",43.9
"Scott, Tanner",656945,"LAD","SL","Slider",1,3,"257",41.5,"57","0.283","0.358","0.311",36.1,31.6,19.4,"0.22","0.301","0.258",34.3
"Senga, Kodai",673540,"NYM","FC","Cutter",1.6,4,"244",20.8,"57","0.224","0.265","0.332",18.7,3.5,8,"0.269","0.335","0.324",46.8
"Blewett, Scott",656240,"BAL","FF","4-Seam Fastball",0.2,1,"251",36.3,"57","0.234","0.468","0.354",17.3,12.3,14.9,"0.287","0.601","0.419",63.4
"Cantillo, Joey",676282,"CLE","FF","4-Seam Fastball",-2.9,-7,"238",40.7,"57","0.292","0.646","0.456",13.2,24.6,24.6,"0.297","0.619","0.435",64.7
"Domínguez, Seranthony",622554,"BAL","FF","4-Seam Fastball",-0.8,-2,"270",44.3,"57","0.214","0.476","0.412",26.1,21.1,20.7,"0.208","0.424","0.38",30
"Helsley, Ryan",664854,"STL","SL","Slider",3.8,9,"233",46.5,"57","0.074","0.148","0.113",46.4,47.4,28.7,"0.107","0.182","0.141",25
"Leasure, Jordan",673929,"CWS","SL","Slider",0.9,2,"250",42,"57","0.176","0.314","0.291",39.7,29.8,23,"0.178","0.256","0.241",32.4
"Holmes, Grant",656550,"ATL","FC","Cutter",2.4,6,"233",13.7,"57","0.212","0.288","0.275",17.8,5.3,11.5,"0.263","0.367","0.309",38.8
"De Los Santos, Enyel",660853,"ATL","SL","Slider",0.9,2,"242",39.9,"57","0.192","0.269","0.244",39.3,28.1,20,"0.194","0.283","0.248",33.3
"Scott, Tayler",605463,"AZ","FF","4-Seam Fastball",-3.1,-7,"244",49.4,"57","0.295","0.545","0.429",24.5,14,11,"0.274","0.534","0.417",43.2
"Ryan, Joe",657746,"MIN","FS","Split-Finger",-1.4,-3,"225",13.7,"56","0.212","0.442","0.314",23.7,23.2,14.3,"0.233","0.467","0.316",42.5
"Stewart, Brock",592779,"MIN","FF","4-Seam Fastball",2,5,"240",53.8,"56","0.22","0.28","0.264",34.9,39.3,27.5,"0.192","0.305","0.256",34.5
"Pfaadt, Brandon",694297,"AZ","CH","Changeup",0,0,"251",16,"56","0.264","0.415","0.314",29.1,7.1,6.9,"0.351","0.58","0.413",34.7
"Okert, Steven",595345,"HOU","FF","4-Seam Fastball",1.7,4,"229",43.1,"56","0.18","0.32","0.257",29.2,28.6,30.8,"0.214","0.44","0.314",40
"Peterson, David",656849,"NYM","CH","Changeup",1.3,3,"234",14.7,"56","0.17","0.245","0.24",20.5,14.3,14,"0.258","0.338","0.282",35.6
"Rogers, Taylor",573124,"CIN","ST","Sweeper",0.9,2,"257",48.8,"56","0.173","0.327","0.266",35.6,37.5,22.3,"0.144","0.232","0.188",28.1
"Cano, Yennier",666974,"BAL","SI","Sinker",1.9,5,"238",46.4,"56","0.188","0.25","0.273",23.7,19.6,20.8,"0.21","0.321","0.288",42.1
"Chivilli, Angel",683409,"COL","CH","Changeup",-0.9,-2,"229",38.4,"55","0.235","0.373","0.31",36.8,23.6,17.3,"0.222","0.383","0.289",28.9
"Gray, Sonny",543243,"STL","CU","Curveball",2.4,6,"256",17.5,"55","0.135","0.212","0.179",30.2,29.1,33.3,"0.193","0.323","0.245",33.3
"Crochet, Garrett",676979,"BOS","SI","Sinker",1.5,4,"243",12.9,"55","0.292","0.313","0.325",22.8,10.9,15.4,"0.316","0.415","0.366",28.6
"Fluharty, Mason",689254,"TOR","ST","Sweeper",-0.1,0,"226",40.4,"55","0.264","0.491","0.334",32.7,25.5,20.6,"0.203","0.392","0.267",28.2
"Hicks, Jordan",663855,"BOS","ST","Sweeper",-0.5,-1,"243",27.7,"54","0.255","0.426","0.361",44.3,24.1,18.8,"0.186","0.299","0.271",23.5
"Bibee, Tanner",676440,"CLE","FC","Cutter",0.1,0,"296",18,"54","0.26","0.5","0.367",28.8,11.1,12.2,"0.225","0.434","0.31",40.9
"Adam, Jason",592094,"SD","SL","Slider",0.3,1,"251",34.3,"53","0.313","0.438","0.365",44.3,32.1,34.7,"0.252","0.384","0.299",37.5
"Peralta, Freddy",642547,"MIL","CU","Curveball",-0.2,0,"231",13.5,"53","0.22","0.38","0.281",34.7,35.8,17,"0.206","0.301","0.245",25.8
"Sears, JP",676664,"ATH","CH","Changeup",-1.2,-3,"252",15.8,"53","0.288","0.519","0.36",21.3,7.5,12.9,"0.277","0.462","0.313",30.6
"Mikolas, Miles",571945,"STL","CU","Curveball",-1.5,-4,"236",16.9,"53","0.224","0.449","0.301",25.3,32.1,18.7,"0.192","0.356","0.261",33.3
"Eovaldi, Nathan",543135,"TEX","FC","Cutter",3.3,8,"238",20.1,"53","0.173","0.288","0.207",23,26.4,25.5,"0.261","0.534","0.341",42.1
"Hoffman, Jeff",656546,"TOR","FF","4-Seam Fastball",-0.4,-1,"231",38.4,"53","0.213","0.511","0.345",23.4,30.2,21.6,"0.278","0.627","0.414",54.8
"Ryan, Joe",657746,"MIN","ST","Sweeper",0.1,0,"228",13.9,"52","0.188","0.313","0.238",37.8,36.5,20.9,"0.184","0.262","0.229",30
"Taillon, Jameson",592791,"CHC","CU","Curveball",3,7,"228",15.3,"52","0.122","0.122","0.147",15.7,26.9,16.3,"0.198","0.316","0.247",34.3
"Rodríguez, Yariel",684320,"TOR","FF","4-Seam Fastball",0.9,2,"280",41.9,"52","0.163","0.279","0.277",18.5,9.6,10,"0.211","0.37","0.325",42.1
"Olson, Reese",681857,"DET","CH","Changeup",1.6,4,"230",25.8,"52","0.143","0.245","0.199",48.3,42.3,26.8,"0.17","0.263","0.215",29.6
"Gilbert, Logan",669302,"SEA","FF","4-Seam Fastball",1.1,3,"267",31.3,"52","0.196","0.326","0.278",24.2,21.2,18,"0.23","0.37","0.306",48.6
"Bello, Brayan",678394,"BOS","ST","Sweeper",-0.3,-1,"278",21.6,"52","0.205","0.341","0.31",23.5,32.7,15.9,"0.228","0.495","0.354",46.4
"Eovaldi, Nathan",543135,"TEX","CU","Curveball",2.6,6,"248",21,"51","0.085","0.085","0.161",44.4,37.3,21.6,"0.156","0.236","0.209",25
"Santillan, Tony",663574,"CIN","SL","Slider",-1.9,-4,"237",34.6,"50","0.286","0.476","0.372",31.6,18,9.2,"0.276","0.494","0.372",29.4
"Fairbanks, Pete",664126,"TB","SL","Slider",1,2,"234",40.3,"50","0.13","0.217","0.228",27.6,26,16.9,"0.172","0.212","0.208",21.2
"Vesia, Alex",681911,"LAD","SL","Slider",0,0,"235",38.7,"50","0.222","0.467","0.33",39.8,36,19.4,"0.211","0.41","0.305",29.6
"Gordon, Colton",676467,"HOU","ST","Sweeper",-2.7,-6,"239",31.4,"49","0.333","0.625","0.411",25.2,32.7,14.3,"0.23","0.408","0.279",34.4
"Milner, Hoby",571948,"TEX","ST","Sweeper",1,3,"267",38.3,"47","0.227","0.273","0.265",15.5,19.1,15,"0.277","0.497","0.332",35.1
"Rodriguez, Eduardo",593958,"AZ","FC","Cutter",0.7,2,"229",17.3,"47","0.273","0.432","0.34",29,29.8,31.1,"0.232","0.385","0.281",25.8
"Montero, Rafael",606160,"ATL","FF","4-Seam Fastball",1.3,3,"262",45.7,"47","0.214","0.31","0.277",26.2,25.5,15.8,"0.297","0.534","0.388",73.3
"Hendricks, Kyle",543294,"LAA","FF","4-Seam Fastball",0.3,1,"223",15.3,"46","0.225","0.5","0.339",20.2,21.7,16.1,"0.223","0.485","0.337",35.5
"Chapman, Aroldis",547973,"BOS","FF","4-Seam Fastball",1.9,4,"229",44,"46","0.171","0.244","0.276",31.7,15.2,18.4,"0.231","0.409","0.317",41.2
"Bradley, Taj",671737,"TB","CU","Curveball",1.1,2,"225",14.4,"45","0.091","0.114","0.123",33.3,60,23.7,"0.098","0.14","0.116",23.5
"Alcantara, Sandy",645261,"MIA","SL","Slider",-0.4,-1,"244",16.3,"44","0.237","0.421","0.306",28.3,20.5,15,"0.37","0.672","0.45",45.2
"Kochanowicz, Jack",686799,"LAA","SL","Slider",-2.2,-5,"232",15.8,"41","0.412","0.618","0.472",26.5,9.8,11.8,"0.342","0.534","0.414",29
"King, Michael",650633,"SD","FF","4-Seam Fastball",-2.3,-5,"231",25,"39","0.303","0.727","0.469",31.7,23.1,12.5,"0.28","0.684","0.448",54.2